SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,zone_share,league_efg_zone,league_zone_share,efg_vs_league_zone
2014,1610612760,Oklahoma City Thunder,Backcourt,17,0,0,0,0,0,2.5070048665388586E-3,5.4054054054054057E-2,2.1751271273625114E-3,-5.4054054054054057E-2
2014,1610612760,Oklahoma City Thunder,Mid-Range,1887,802,0,1604,0.85002649708532063,0.42501324854266032,0.2782775401858133,0.39460891812865495,0.26806972164251491,3.0404330414005365E-2
2014,1610612760,Oklahoma City Thunder,Left Corner 3,252,87,87,261,1.0357142857142858,0.5178571428571429,3.7162660374576023E-2,0.58688340807174888,3.4958799956889372E-2,-6.9026265214605975E-2
2015,1610612738,Boston Celtics,Backcourt,16,0,0,0,0,0,2.2194479123318076E-3,0.03864168618266979,2.0773534419849184E-3,-0.03864168618266979
2015,1610612738,Boston Celtics,Right Corner 3,201,69,69,207,1.0298507462686568,0.5149253731343284,2.7881814398668332E-2,0.58766280234721624,0.03399172950620287,-7.2737429212887839E-2
2015,1610612738,Boston Celtics,In The Paint (Non-RA),962,377,0,754,0.78378378378378377,0.39189189189189189,0.13344430572894991,0.39243700232657208,0.14846509365117977,-5.4511043468019604E-4
2015,1610612738,Boston Celtics,Left Corner 3,229,91,91,273,1.1921397379912664,0.59606986899563319,3.1765848245248994E-2,0.56977217249796586,3.5874483094137682E-2,2.6297696497667333E-2
2015,1610612738,Boston Celtics,Above the Break 3,1573,500,500,1500,0.95359186268277174,0.47679593134138587,0.21819947288112082,0.51111937523242845,0.19622962782777914,-3.4323443891042582E-2
2015,1610612738,Boston Celtics,Restricted Area,2233,1336,0,2672,1.1965965069413345,0.59829825347066723,0.30975169926480789,0.60082559651616418,0.32174166869374848,-2.5273430454969548E-3
2015,1610612738,Boston Celtics,Mid-Range,1995,820,0,1640,0.82205513784461148,0.41102756892230574,0.27673741156887222,0.39560398690865811,0.26162004378496717,0.01542358201364763
2015,1610612741,Chicago Bulls,Right Corner 3,183,78,77,233,1.2732240437158471,0.63661202185792354,2.6923642783580993E-2,0.58766280234721624,0.03399172950620287,4.8949219510707298E-2
2015,1610612741,Chicago Bulls,Mid-Range,1700,672,0,1344,0.79058823529411759,0.3952941176470588,0.25011034279829336,0.39560398690865811,0.26162004378496717,-3.0986926159931594E-4
2015,1610612741,Chicago Bulls,Backcourt,18,2,2,6,0.33333333333333331,0.16666666666666666,2.6482271590407532E-3,0.03864168618266979,2.0773534419849184E-3,0.12802498048399685
2015,1610612741,Chicago Bulls,Restricted Area,2355,1322,0,2644,1.1227176220806794,0.56135881104033969,0.3464763866411652,0.60082559651616418,0.32174166869374848,-3.9466785475824495E-2
2015,1610612741,Chicago Bulls,In The Paint (Non-RA),916,361,0,722,0.78820960698689957,0.39410480349344978,0.13476533764896279,0.39243700232657208,0.14846509365117977,1.6678011668777026E-3
2015,1610612741,Chicago Bulls,Left Corner 3,224,83,83,249,1.1116071428571428,0.5558035714285714,3.2955715756951595E-2,0.56977217249796586,3.5874483094137682E-2,-0.01396860106939446
2015,1610612741,Chicago Bulls,Above the Break 3,1401,483,483,1449,1.0342612419700214,0.51713062098501072,0.20612034721200528,0.51111937523242845,0.19622962782777914,6.0112457525822727E-3
2015,1610612749,Milwaukee Bucks,Backcourt,4,0,0,0,0,0,5.9506099375185957E-4,0.03864168618266979,2.0773534419849184E-3,-0.03864168618266979
2015,1610612749,Milwaukee Bucks,Right Corner 3,224,97,97,291,1.2991071428571428,0.6495535714285714,3.3323415650104132E-2,0.58766280234721624,0.03399172950620287,6.1890769081355157E-2
2015,1610612749,Milwaukee Bucks,Above the Break 3,1003,348,348,1044,1.040877367896311,0.52043868394815551,0.14921154418327878,0.51111937523242845,0.19622962782777914,9.3193087157270593E-3
2015,1610612749,Milwaukee Bucks,In The Paint (Non-RA),856,320,0,640,0.74766355140186913,0.37383177570093457,0.12734305266289794,0.39243700232657208,0.14846509365117977,-1.8605226625637517E-2
2015,1610612749,Milwaukee Bucks,Left Corner 3,269,100,100,300,1.1152416356877324,0.55762081784386619,4.0017851829812559E-2,0.56977217249796586,3.5874483094137682E-2,-1.2151354654099666E-2
2015,1610612749,Milwaukee Bucks,Mid-Range,1920,782,0,1564,0.81458333333333333,0.40729166666666666,0.28562927700089258,0.39560398690865811,0.26162004378496717,1.1687679758008551E-2
2015,1610612749,Milwaukee Bucks,Restricted Area,2446,1436,0,2872,1.1741618969746526,0.58708094848732628,0.36387979767926215,0.60082559651616418,0.32174166869374848,-1.3744648028837902E-2
2015,1610612750,Minnesota Timberwolves,In The Paint (Non-RA),1073,405,0,810,0.75489282385834111,0.37744641192917056,0.15735445079923743,0.39243700232657208,0.14846509365117977,-1.4990590397401526E-2
2015,1610612750,Minnesota Timberwolves,Restricted Area,2154,1289,0,2578,1.1968430826369545,0.59842154131847725,0.31588209414870216,0.60082559651616418,0.32174166869374848,-2.4040551976869384E-3
2015,1610612750,Minnesota Timberwolves,Backcourt,12,0,0,0,0,0,1.7597888253409592E-3,0.03864168618266979,2.0773534419849184E-3,-0.03864168618266979
2015,1610612750,Minnesota Timberwolves,Right Corner 3,105,39,39,117,1.1142857142857143,0.55714285714285716,1.5398152221733392E-2,0.58766280234721624,0.03399172950620287,-3.0519945204359078E-2
