SEASON_1,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,league_zone_share
2015,Right Corner 3,6987,2738,2736,8212,1.1753256046944325,0.58766280234721624,0.03399172950620287
2015,In The Paint (Non-RA),30517,11976,0,23952,0.78487400465314416,0.39243700232657208,0.14846509365117977
2015,Left Corner 3,7374,2801,2801,8403,1.1395443449959317,0.56977217249796586,3.5874483094137682E-2
2015,Mid-Range,53776,21274,0,42548,0.79120797381731622,0.39560398690865811,0.26162004378496717
2015,Above the Break 3,40335,13744,13744,41232,1.0222387504648569,0.51111937523242845,0.19622962782777914
2015,Restricted Area,66134,39735,0,79470,1.2016511930323284,0.60082559651616418,0.32174166869374848
2015,Backcourt,427,11,11,33,7.7283372365339581E-2,0.03864168618266979,2.0773534419849184E-3
2016,Restricted Area,67443,40634,0,81268,1.2049879157214241,0.60249395786071203,0.32441207736672228
2016,Above the Break 3,43429,15149,15149,45447,1.0464666467107233,0.52323332335536166,0.20890073258839884
2016,Right Corner 3,7360,2803,2801,8407,1.1422554347826086,0.5711277173913043,3.5402827416026517E-2
2016,Left Corner 3,7864,2939,2938,8816,1.121057985757884,0.56052899287894198,0.03782715146734137
2016,Mid-Range,51133,20384,0,40768,0.79729333307257544,0.39864666653628772,0.24595825737278312
2016,Backcourt,440,17,17,51,0.11590909090909091,5.7954545454545453E-2,2.1164733781320198E-3
2016,In The Paint (Non-RA),30224,12091,0,24182,0.80009264160931715,0.40004632080465857,0.14538248041059584
2017,In The Paint (Non-RA),29823,12453,0,24906,0.83512725077959959,0.4175636253897998,0.14206231630694188
2017,Backcourt,499,10,10,30,6.0120240480961921E-2,3.0060120240480961E-2,2.376994126585655E-3
2017,Mid-Range,46575,18747,0,37494,0.80502415458937193,0.40251207729468597,0.22186072434013404
2017,Above the Break 3,50072,17599,17599,52797,1.0544216328486979,0.52721081642434897,0.23851873728736858
2017,Left Corner 3,8031,3102,3102,9306,1.1587598057527082,0.5793799028763541,3.8255791243706205E-2
2017,Right Corner 3,7640,2966,2966,8898,1.1646596858638742,0.58232984293193712,3.6393256767764337E-2
2017,Restricted Area,67289,41113,0,82226,1.2219827906492888,0.61099139532464442,0.32053217992749927
2018,In The Paint (Non-RA),33243,13201,0,26402,0.7942123153746653,0.39710615768733265,0.15702362227040201
2018,Restricted Area,66875,42188,0,84376,1.2616971962616823,0.63084859813084115,0.31588468968905137
2018,Right Corner 3,7440,3007,3007,9021,1.2124999999999999,0.60624999999999996,3.5142909776247358E-2
2018,Mid-Range,40336,16271,33,32575,0.80759123363744545,0.40379561681872272,0.19052747429230021
2018,Above the Break 3,55120,19630,19629,58889,1.068378084179971,0.53418904208998552,0.26035983694445625
2018,Left Corner 3,8169,3133,3133,9399,1.1505692251193536,0.57528461255967678,3.8586348113194176E-2
2018,Backcourt,524,5,5,15,2.8625954198473282E-2,1.4312977099236641E-2,2.4751189143486043E-3
2019,Mid-Range,33276,13405,50,26860,0.80718836398605598,0.40359418199302799,0.15162810196028398
2019,In The Paint (Non-RA),35121,14176,0,28352,0.80726630790695031,0.40363315395347515,0.160035177573841
2019,Backcourt,466,14,14,42,0.09012875536480687,4.5064377682403435E-2,2.1234131359986878E-3
2019,Right Corner 3,8771,3313,3313,9939,1.1331661156082544,0.56658305780412721,3.9966645098378731E-2
2019,Restricted Area,72427,45574,0,91148,1.2584809532356718,0.62924047661783589,0.33002670214801921
2019,Left Corner 3,9112,3519,3519,10557,1.1585820895522387,0.57929104477611937,4.1520473165708248E-2
2019,Above the Break 3,60285,21061,21059,63181,1.0480384838682923,0.52401924193414617,0.27469948691777013
2020,Mid-Range,25066,10145,31,20321,0.8106997526529961,0.40534987632649805,0.13324757064789811
2020,Backcourt,405,7,7,21,0.05185185185185185,2.5925925925925925E-2,2.1529269174339239E-3
2020,In The Paint (Non-RA),30376,12129,0,24258,0.79859099288912294,0.39929549644456147,0.16147483467647622
2020,Above the Break 3,55519,19508,19504,58520,1.0540535672472486,0.52702678362362432,0.29513172723213338
2020,Right Corner 3,7867,2991,2991,8973,1.1405872632515572,0.57029363162577862,4.1819940887537474E-2
2020,Restricted Area,60503,38441,0,76882,1.2707138489000545,0.63535692445002723,0.32162601798890045
2020,Left Corner 3,8380,3329,3329,9987,1.1917661097852028,0.5958830548926014,4.4546981649620447E-2
2021,Above the Break 3,56819,20464,20457,61385,1.0803604428096236,0.54018022140481181,0.29750815517611517
2021,Backcourt,309,8,8,24,7.7669902912621352E-2,3.8834951456310676E-2,1.6179450527010258E-3
2021,Restricted Area,57440,36818,0,73636,1.2819637883008357,0.64098189415041784,0.30075975348591238
2021,Right Corner 3,8460,3287,3287,9861,1.1656028368794327,0.58280141843971633,4.4297136394338764E-2
2021,In The Paint (Non-RA),34224,14616,0,29232,0.8541374474053296,0.4270687237026648,0.17919919573993498
2021,Left Corner 3,9173,3644,3644,10932,1.191758421454268,0.59587921072713401,4.8030452972254077E-2
2021,Mid-Range,24558,10183,31,20397,0.83056437820669438,0.41528218910334719,0.12858736117874367
2022,Right Corner 3,10091,3855,3855,11565,1.1460707561193142,0.5730353780596571,4.6561954946890485E-2
