SEASON_1,TEAM_ID,TEAM_NAME,FGA,FGM,FG3M,Points,PPS,eFG
2012,1610612754,Indiana Pacers,5374,2354,392,5100,0.94901377000372167,0.47450688500186083
2022,1610612737,Atlanta Hawks,7241,3401,1056,7858,1.085209225245132,0.54260461262256598
2024,1610612746,LA Clippers,7108,3473,1036,7982,1.1229600450196962,0.56148002250984808
2015,1610612742,Dallas Mavericks,7036,3255,732,7242,1.0292779988629903,0.51463899943149516
2024,1610612766,Charlotte Hornets,7133,3281,989,7551,1.0586008691994953,0.52930043459974763
2013,1610612758,Sacramento Kings,6904,3086,610,6782,0.98232908458864432,0.49116454229432216
2004,1610612754,Indiana Pacers,6322,2753,449,5955,0.94194875039544446,0.47097437519772223
2024,1610612750,Minnesota Timberwolves,6974,3383,1037,7803,1.1188700889016348,0.55943504445081738
2017,1610612753,Orlando Magic,7130,3138,700,6976,0.97840112201963536,0.48920056100981768
2016,1610612748,Miami Heat,6693,3148,496,6792,1.0147915732855222,0.50739578664276108
2015,1610612763,Memphis Grizzlies,6763,3097,423,6617,0.97841194736063875,0.48920597368031937
2005,1610612740,New Orleans Hornets,6556,2718,415,5851,0.89246491763270286,0.44623245881635143
2015,1610612761,Toronto Raptors,6828,3108,726,6942,1.0166959578207382,0.50834797891036909
2007,1610612753,Orlando Magic,6090,2875,342,6092,1.000328407224959,0.50016420361247949
2016,1610612741,Chicago Bulls,7170,3165,651,6981,0.97364016736401671,0.48682008368200835
2022,1610612752,New York Knicks,7069,3088,1082,7258,1.0267364549441222,0.51336822747206112
2020,1610612750,Minnesota Timberwolves,5865,2586,853,6025,1.0272804774083546,0.5136402387041773
2008,1610612752,New York Knicks,6757,2967,490,6424,0.95071777416013026,0.47535888708006513
2013,1610612744,Golden State Warriors,6840,3130,658,6918,1.0114035087719297,0.50570175438596487
2019,1610612757,Portland Trail Blazers,7427,3470,904,7844,1.0561464925272654,0.52807324626363272
2006,1610612749,Milwaukee Bucks,6566,2976,507,6459,0.98370392933292716,0.49185196466646358
2021,1610612744,Golden State Warriors,6347,2973,1048,6994,1.1019379234283915,0.55096896171419574
2018,1610612738,Boston Celtics,6975,3141,939,7221,1.035268817204301,0.51763440860215049
